1A5
421
8
Time,Channel A,Channel B
(ms),(V),(V)
0.06414797,3.34399600,1.77426800
0.06414997,3.34814800,1.77026900
0.06415197,3.35230100,1.76627100
0.06415397,3.35629900,1.76211900
0.06415597,3.36045100,1.75812000
0.06415797,3.36445000,1.75396800
0.06415997,3.36860200,1.74981500
0.06416197,3.37260100,1.74566300
0.06416397,3.37659900,1.74120300
0.06416597,3.38044400,1.73735800
0.06416797,3.38444300,1.73336000
0.06416997,3.38859500,1.72951500
0.06417197,3.39259300,1.72551700
0.06417397,3.39674600,1.72167200
0.06417597,3.40074400,1.71752000
0.06417797,3.40489700,1.71352100
0.06417997,3.40904900,1.70936900
0.06418197,3.41320100,1.70537000
0.06418397,3.41735400,1.70152600
0.06418597,3.42135200,1.69737300
0.06418797,3.42535100,1.69337500
0.06418997,3.42965700,1.68906900
0.06419197,3.43380900,1.68507000
0.06419397,3.43780800,1.68122500
0.06419597,3.44196000,1.67707300
0.06419797,3.44611200,1.67307500
0.06419997,3.45026400,1.66892200
0.06420197,3.45441700,1.66477000
0.06420397,3.45841500,1.66092500
0.06420597,3.46241400,1.65677300
0.06420797,3.46672000,1.65262100
0.06420997,3.47071800,1.64846800
0.06421197,3.47487100,1.64447000
0.06421397,3.47902300,1.64047100
0.06421597,3.48317600,1.63631900
0.06421797,3.48732800,1.63216700
0.06421997,3.49178800,1.62816800
0.06422197,3.49594000,1.62417000
0.06422397,3.50009200,1.61986300
0.06422597,3.50424500,1.61555700
0.06422797,3.50839700,1.61140500
0.06422997,3.51270300,1.60740600
0.06423197,3.51700900,1.60325400
0.06423397,3.52116100,1.59940900
0.06423597,3.52531400,1.59541100
0.06423797,3.52915800,1.59156600
0.06423997,3.53315700,1.58741400
0.06424197,3.53700200,1.58387700
0.06424397,3.54069300,1.58034000
0.06424597,3.54407600,1.57695600
0.06424797,3.54761300,1.57372700
0.06424997,3.55084300,1.57065100
0.06425197,3.55376500,1.56772900
0.06425397,3.55668700,1.56496100
0.06425597,3.55930100,1.56234600
0.06425797,3.56176200,1.56003900
0.06425997,3.56406900,1.55788600
0.06426197,3.56591400,1.55604100
0.06426397,3.56776000,1.55419500
0.06426597,3.56945100,1.55250400
0.06426797,3.57083500,1.55112000
0.06426997,3.57237300,1.54942800
0.06427197,3.57345000,1.54819800
0.06427397,3.57437300,1.54712100
0.06427597,3.57529500,1.54619800
0.06427797,3.57606400,1.54527600
0.06427997,3.57667900,1.54435300
0.06428197,3.57714100,1.54373800
0.06428397,3.57760200,1.54312300
0.06428597,3.57791000,1.54266100
0.06428797,3.57837100,1.54204600
0.06428997,3.57883200,1.54173800
0.06429197,3.57929400,1.54143100
0.06429397,3.57929400,1.54112300
0.06429597,3.57944800,1.54096900
0.06429797,3.57960100,1.54050800
0.06429997,3.57960100,1.54050800
0.06430197,3.57990900,1.54035400
0.06430397,3.58006300,1.54035400
0.06430597,3.57990900,1.54035400
0.06430797,3.57990900,1.54035400
0.06430997,3.57990900,1.54035400
0.06431197,3.58006300,1.54035400
0.06431397,3.58021600,1.54020100
0.06431597,3.58067800,1.54020100
0.06431797,3.58067800,1.53973900
0.06431997,3.58083200,1.53927800
0.06432197,3.58113900,1.53912400
0.06432397,3.58144700,1.53897000
0.06432597,3.58175400,1.53850900
0.06432797,3.58237000,1.53835500
0.06432997,3.58283100,1.53804700
0.06433197,3.58313800,1.53758600
0.06433397,3.58375400,1.53743200
0.06433597,3.58436900,1.53681700
0.06433797,3.58513800,1.53666300
0.06433997,3.58575300,1.53635600
0.06434197,3.58636800,1.53604800
0.06434397,3.58698300,1.53574100
0.06434597,3.58713700,1.53558700
0.06434797,3.58759800,1.53512500
0.06434997,3.58821400,1.53481800
0.06435197,3.58867500,1.53451000
0.06435397,3.58898300,1.53435700
0.06435597,3.58959800,1.53420300
0.06435797,3.59005900,1.53389500
0.06435997,3.59052000,1.53374100
0.06436197,3.59082800,1.53358800
0.06436397,3.59128900,1.53328000
0.06436597,3.59144300,1.53312600
0.06436797,3.59175100,1.53251100
0.06436997,3.59221200,1.53220300
0.06437197,3.59252000,1.53205000
0.06437397,3.59282700,1.53189600
0.06437597,3.59313500,1.53158800
0.06437797,3.59359600,1.53128100
0.06437997,3.59375000,1.53097300
0.06438197,3.59421100,1.53066600
0.06438397,3.59436500,1.53035800
0.06438597,3.59482600,1.53035800
0.06438797,3.59528800,1.53020400
0.06438997,3.59528800,1.53020400
0.06439197,3.59528800,1.53020400
0.06439397,3.59544200,1.53005000
0.06439597,3.59574900,1.53005000
0.06439797,3.59590300,1.52974300
0.06439997,3.59605700,1.52974300
0.06440197,3.59605700,1.52958900
0.06440397,3.59636400,1.52943500
0.06440597,3.59651800,1.52912800
0.06440797,3.59651800,1.52897400
0.06440997,3.59651800,1.52882000
0.06441197,3.59667200,1.52882000
0.06441397,3.59698000,1.52851300
0.06441597,3.59698000,1.52851300
0.06441797,3.59698000,1.52851300
0.06441997,3.59713300,1.52851300
0.06442197,3.59728700,1.52851300
0.06442397,3.59759500,1.52851300
0.06442597,3.59774900,1.52851300
0.06442797,3.59774900,1.52851300
0.06442997,3.59790200,1.52835900
0.06443197,3.59774900,1.52820500
0.06443397,3.59790200,1.52820500
0.06443597,3.59821000,1.52820500
0.06443797,3.59836400,1.52789700
0.06443997,3.59867100,1.52789700
0.06444197,3.59882500,1.52789700
0.06444397,3.59882500,1.52789700
0.06444597,3.59897900,1.52789700
0.06444797,3.59928600,1.52789700
0.06444997,3.59944000,1.52789700
0.06445197,3.59944000,1.52789700
0.06445397,3.59959400,1.52789700
0.06445597,3.59990200,1.52789700
0.06445797,3.59990200,1.52789700
0.06445997,3.59990200,1.52774400
0.06446197,3.59990200,1.52774400
0.06446397,3.59990200,1.52743600
0.06446597,3.60005500,1.52728200
0.06446797,3.60020900,1.52728200
0.06446997,3.60020900,1.52728200
0.06447197,3.60051700,1.52712800
0.06447397,3.60067100,1.52712800
0.06447597,3.60067100,1.52682100
0.06447797,3.60082400,1.52666700
0.06447997,3.60067100,1.52666700
0.06448197,3.60082400,1.52666700
0.06448397,3.60113200,1.52651300
0.06448597,3.60082400,1.52651300
0.06448797,3.60113200,1.52651300
0.06448997,3.60128600,1.52651300
0.06449197,3.60128600,1.52651300
0.06449397,3.60143900,1.52651300
0.06449597,3.60128600,1.52651300
0.06449797,3.60128600,1.52620600
0.06449997,3.60143900,1.52605200
0.06450197,3.60174700,1.52605200
0.06450397,3.60143900,1.52589800
0.06450597,3.60174700,1.52589800
0.06450797,3.60190100,1.52589800
0.06450997,3.60190100,1.52589800
0.06451197,3.60220800,1.52589800
0.06451397,3.60236200,1.52589800
0.06451597,3.60251600,1.52589800
0.06451797,3.60282300,1.52589800
0.06451997,3.60297700,1.52589800
0.06452197,3.60313100,1.52589800
0.06452397,3.60313100,1.52589800
0.06452597,3.60313100,1.52589800
0.06452797,3.60313100,1.52589800
0.06452997,3.60343900,1.52559100
0.06453197,3.60343900,1.52559100
0.06453397,3.60359200,1.52589800
0.06453597,3.60359200,1.52589800
0.06453797,3.60359200,1.52589800
0.06453997,3.60359200,1.52605200
0.06454197,3.60359200,1.52605200
0.06454397,3.60374600,1.52620600
